gsm,cell_type,beta_filename,url
GSM5652176,Adipocytes,GSM5652176_Adipocytes-Z000000T7.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652176/suppl/GSM5652176_Adipocytes-Z000000T7.beta
GSM5652177,Adipocytes,GSM5652177_Adipocytes-Z000000T9.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652177/suppl/GSM5652177_Adipocytes-Z000000T9.beta
GSM5652178,Adipocytes,GSM5652178_Adipocytes-Z000000T5.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652178/suppl/GSM5652178_Adipocytes-Z000000T5.beta
GSM5652179,Aorta-Endothelium,GSM5652179_Aorta-Endothelium-Z00000422.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652179/suppl/GSM5652179_Aorta-Endothelium-Z00000422.beta
GSM5652180,Aorta-Endothelium,GSM5652180_Aorta-Endothelium-Z0000043G.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652180/suppl/GSM5652180_Aorta-Endothelium-Z0000043G.beta
GSM5652181,Saphenous-Vein-Endothelium,GSM5652181_Saphenous-Vein-Endothelium-Z000000RM.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652181/suppl/GSM5652181_Saphenous-Vein-Endothelium-Z000000RM.beta
GSM5652182,Saphenous-Vein-Endothelium,GSM5652182_Saphenous-Vein-Endothelium-Z000000S7.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652182/suppl/GSM5652182_Saphenous-Vein-Endothelium-Z000000S7.beta
GSM5652183,Saphenous-Vein-Endothelium,GSM5652183_Saphenous-Vein-Endothelium-Z000000SB.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652183/suppl/GSM5652183_Saphenous-Vein-Endothelium-Z000000SB.beta
GSM5652184,Kidney-Glomerular-Endothelium,GSM5652184_Kidney-Glomerular-Endothelium-Z000000Q5.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652184/suppl/GSM5652184_Kidney-Glomerular-Endothelium-Z000000Q5.beta
GSM5652185,Kidney-Glomerular-Endothelium,GSM5652185_Kidney-Glomerular-Endothelium-Z00000443.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652185/suppl/GSM5652185_Kidney-Glomerular-Endothelium-Z00000443.beta
GSM5652186,Kidney-Glomerular-Endothelium,GSM5652186_Kidney-Glomerular-Endothelium-Z0000045J.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652186/suppl/GSM5652186_Kidney-Glomerular-Endothelium-Z0000045J.beta
GSM5652187,Kidney-Tubular-Endothelium,GSM5652187_Kidney-Tubular-Endothelium-Z000000PX.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652187/suppl/GSM5652187_Kidney-Tubular-Endothelium-Z000000PX.beta
GSM5652188,Kidney-Tubular-Endothelium,GSM5652188_Kidney-Tubular-Endothelium-Z000000Q3.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652188/suppl/GSM5652188_Kidney-Tubular-Endothelium-Z000000Q3.beta
GSM5652189,Kidney-Tubular-Endothelium,GSM5652189_Kidney-Tubular-Endothelium-Z0000042R.beta,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5652nnn/GSM5652189/suppl/GSM5652189_Kidney-Tubular-Endothelium-Z0000042R.beta
