name,group
GSM5652176_Adipocytes-Z000000T7,Adipocytes
GSM5652177_Adipocytes-Z000000T9,Adipocytes
GSM5652178_Adipocytes-Z000000T5,Adipocytes
GSM5652179_Aorta-Endothel-Z00000422,Aorta-Endothelium
GSM5652180_Aorta-Endothel-Z0000043G,Aorta-Endothelium
GSM5652181_Saphenous-Vein-Endothel-Z000000RM,Saphenous-Vein-Endothelium
GSM5652182_Saphenous-Vein-Endothel-Z000000S7,Saphenous-Vein-Endothelium
GSM5652183_Saphenous-Vein-Endothel-Z000000SB,Saphenous-Vein-Endothelium
GSM5652184_Kidney-Glomerular-Endothel-Z000000Q5,Kidney-Glomerular-Endothelium
GSM5652185_Kidney-Glomerular-Endothel-Z00000443,Kidney-Glomerular-Endothelium
GSM5652186_Kidney-Glomerular-Endothel-Z0000045J,Kidney-Glomerular-Endothelium
GSM5652187_Kidney-Tubular-Endothel-Z000000PX,Kidney-Tubular-Endothelium
GSM5652188_Kidney-Tubular-Endothel-Z000000Q3,Kidney-Tubular-Endothelium
GSM5652189_Kidney-Tubular-Endothel-Z0000042R,Kidney-Tubular-Endothelium
GSM5652190_Liver-Endothelium-Z000000RB,Liver-Endothelium
GSM5652191_Lung-Alveolar-Endothel-Z000000Q1,Lung-Alveolar-Endothelium
GSM5652192_Lung-Alveolar-Endothel-Z000000QK,Lung-Alveolar-Endothelium
GSM5652193_Lung-Alveolar-Endothel-Z0000045H,Lung-Alveolar-Endothelium
GSM5652194_Pancreas-Endothel-Z0000042D,Pancreas-Endothelium
GSM5652195_Pancreas-Endothel-Z0000042X,Pancreas-Endothelium
GSM5652196_Pancreas-Endothel-Z00000430,Pancreas-Endothelium
GSM5652197_Pancreas-Islet-Endothel-Z0000042Y,Pancreas-Islet-Endothelium
GSM5652198_Colon-Fibroblasts-Z0000042A,Colon-Fibroblasts
GSM5652199_Colon-Fibroblasts-Z0000042C,Colon-Fibroblasts
GSM5652200_Heart-Fibroblasts-Z0000043R,Heart-Fibroblasts
GSM5652201_Heart-Fibroblasts-Z0000041V,Heart-Fibroblasts
GSM5652202_Heart-Fibroblasts-Z0000041W,Heart-Fibroblasts
GSM5652203_Heart-Fibroblasts-Z0000041X,Heart-Fibroblasts
GSM5652204_Dermal-Fibroblasts-Z00000423,Dermal-Fibroblasts
GSM5652205_Skeletal-Muscle-Z00000427,Skeletal-Muscle
GSM5652206_Skeletal-Muscle-Z00000429,Skeletal-Muscle
GSM5652207_Aorta-Smooth-Muscle-Z0000041U,Aorta-Smooth-Muscle
GSM5652208_Coronary-Artery-Smooth-Muscle-Z00000420,Coronary-Artery-Smooth-Muscle
GSM5652209_Bladder-Smooth-Muscle-Z0000041Z,Bladder-Smooth-Muscle
GSM5652210_Prostate-Smooth-Muscle-Z0000041Y,Prostate-Smooth-Muscle
GSM5652211_Lung-Bronchus-Smooth-Muscle-Z00000421,Lung-Bronchus-Smooth-Muscle
GSM5652212_Heart-Cardiomyocyte-Z0000044G,Heart-Cardiomyocyte
GSM5652213_Heart-Cardiomyocyte-Z0000044K,Heart-Cardiomyocyte
GSM5652214_Heart-Cardiomyocyte-Z0000044N,Heart-Cardiomyocyte
GSM5652215_Heart-Cardiomyocyte-Z0000044P,Heart-Cardiomyocyte
GSM5652216_Heart-Cardiomyocyte-Z0000044Q,Heart-Cardiomyocyte
GSM5652217_Heart-Cardiomyocyte-Z0000044R,Heart-Cardiomyocyte
GSM5652218_Bone-Osteoblasts-Z0000042Z,Bone-Osteoblasts
GSM5652219_Oligodendrocytes-Z000000TK,Oligodendrocytes
GSM5652220_Oligodendrocytes-Z0000042E,Oligodendrocytes
GSM5652221_Oligodendrocytes-Z0000042L,Oligodendrocytes
GSM5652222_Oligodendrocytes-Z0000042N,Oligodendrocytes
GSM5652223_Cortex-Neuron-Z000000TF,Cortex-Neuron
GSM5652224_Neuron-Z000000TH,Neuron
GSM5652225_Cortex-Neuron-Z0000042F,Cortex-Neuron
GSM5652226_Cortex-Neuron-Z0000042H,Cortex-Neuron
