name,group
GSM5652316_Blood-B-Z000000TX,Blood-B
GSM5652317_Blood-B-Z000000UB,Blood-B
GSM5652318_Blood-B-Z000000UR,Blood-B
GSM5652299_Blood-NK-Z000000TM,Blood-NK
GSM5652300_Blood-NK-Z000000U1,Blood-NK
GSM5652301_Blood-NK-Z000000UF,Blood-NK
GSM5652302_Blood-Monocytes-Z000000TP,Blood-Monocytes
GSM5652303_Blood-Monocytes-Z000000U3,Blood-Monocytes
GSM5652304_Blood-Monocytes-Z000000UH,Blood-Monocytes
GSM5652313_Blood-Granulocytes-Z000000TZ,Blood-Granulocytes
GSM5652314_Blood-Granulocytes-Z000000UD,Blood-Granulocytes
GSM5652315_Blood-Granulocytes-Z000000UT,Blood-Granulocytes
GSM5652277_Blood-T-CD3-Z000000TV,Blood-T-CD3
GSM5652278_Blood-T-CD3-Z000000UP,Blood-T-CD3
GSM5652279_Blood-T-CD4-Z000000TT,Blood-T-CD4
GSM5652280_Blood-T-CD4-Z000000U7,Blood-T-CD4
GSM5652281_Blood-T-CD4-Z000000UM,Blood-T-CD4
GSM5652282_Blood-T-CD8-Z000000TR,Blood-T-CD8
GSM5652283_Blood-T-CD8-Z000000U5,Blood-T-CD8
GSM5652284_Blood-T-CD8-Z000000UK,Blood-T-CD8
GSM5652285_Blood-T-CenMem-CD4-Z00000417,Blood-T-CenMem-CD4
GSM5652286_Blood-T-CenMem-CD4-Z0000041D,Blood-T-CenMem-CD4
GSM5652287_Blood-T-CenMem-CD4-Z0000041N,Blood-T-CenMem-CD4
GSM5652288_Blood-T-Eff-CD8-Z00000419,Blood-T-Eff-CD8
GSM5652289_Blood-T-Eff-CD8-Z0000041F,Blood-T-Eff-CD8
GSM5652290_Blood-T-Eff-CD8-Z0000041Q,Blood-T-Eff-CD8
GSM5652291_Blood-T-EffMem-CD4-Z00000416,Blood-T-EffMem-CD4
GSM5652292_Blood-T-EffMem-CD4-Z0000041C,Blood-T-EffMem-CD4
GSM5652293_Blood-T-EffMem-CD4-Z0000041M,Blood-T-EffMem-CD4
GSM5652294_Blood-T-EffMem-CD8-Z0000041A,Blood-T-EffMem-CD8
GSM5652295_Blood-T-EffMem-CD8-Z0000041G,Blood-T-EffMem-CD8
GSM5652296_Blood-T-Naive-CD4-Z0000041E,Blood-T-Naive-CD4
GSM5652297_Blood-T-Naive-CD8-Z0000041B,Blood-T-Naive-CD8
GSM5652298_Blood-T-Naive-CD8-Z0000041H,Blood-T-Naive-CD8
GSM5652176_Adipocytes-Z000000T7,Adipocytes
GSM5652177_Adipocytes-Z000000T9,Adipocytes
GSM5652178_Adipocytes-Z000000T5,Adipocytes
